団体名,希望日数,合計時間(h),"朝利用合計時間(h)
(8:30-11:00)","昼利用合計時間(h)
(11:00-15:00)","夕利用合計時間(h)
(15:00-18:00)","夜利用合計時間(h)
(18:00-21:00)"
中国留学生学友会,28,16.5,1.5,5.0,6.0,4.0
ULISバレーボール部,28,16.0,1.0,5.0,6.0,4.0
SPIKERS'inc,28,16.0,1.0,4.5,6.0,4.5
ULISバドミントン部,25,15.0,0.0,4.5,6.0,4.5
医学フットサル同好会,24,13.5,0.0,3.0,5.5,5.0
KickChat T-ACT,10,8.0,1.5,2.0,2.5,2.0
インドネシア学友会,4,3.5,0.0,1.5,1.0,1.0
